label,case,n,preparation,execution,coordination,limit,timing_samples,median_ms,owner_peak_MiB,tree_peak_MiB,referenced_binary_peak_MiB,requests_MiB,responses_MiB,fan_in_prepared,max_prepared,facts,edges
foundation,sum,2048,eager,inline,legacy,64,3,163.315,15.608,15.608,0.346,22.579,37.794,2048,2048,4098,8203
foundation,sum,512,bounded,inline,legacy,64,3,90.705,7.284,7.284,0.149,5.555,9.349,495,64,1026,2059
foundation,sum,512,bounded,task,legacy,64,3,109.827,4.565,4.574,0.092,5.643,9.444,512,64,1026,2059
foundation,sum,512,eager,inline,legacy,64,3,36.283,7.284,7.284,0.038,5.643,9.444,512,512,1026,2059
foundation,sum,512,eager,peer_tcp,legacy,64,3,215.98,,,,,,512,512,1026,2059
foundation,sum,512,eager,task,legacy,64,3,48.098,7.47,7.494,0.142,5.643,9.444,512,512,1026,2059
foundation,sum,8192,eager,inline,legacy,64,3,849.682,56.667,56.667,0.363,90.325,151.196,8192,8192,16386,32779
graph,binary,128,eager,inline,legacy,64,3,27.231,1.72,1.72,0.173,24.741,26.194,128,128,258,523
graph,binary,128,eager,peer_tcp,legacy,64,3,167.704,,,,,,128,128,258,523
graph,binary,128,eager,task,legacy,64,3,50.799,5.43,5.454,0.524,24.741,26.194,128,128,258,523
graph,binary,512,eager,inline,legacy,64,3,413.335,12.483,12.483,1.553,370.087,375.901,512,512,1026,2059
graph,binary,512,eager,peer_tcp,legacy,64,3,1565.871,,,,,,512,512,1026,2059
graph,binary,512,eager,task,legacy,64,3,473.488,21.224,21.235,2.609,370.087,375.901,512,512,1026,2059
graph,collect,128,eager,inline,legacy,64,3,23.414,4.502,4.502,0.018,7.86,8.81,128,128,258,523
graph,collect,128,eager,peer_tcp,legacy,64,3,186.387,,,,,,128,128,258,523
graph,collect,128,eager,task,legacy,64,3,33.985,4.817,4.913,0.018,7.86,8.81,128,128,258,523
graph,collect,2048,eager,inline,legacy,64,3,4086.5,92.626,92.626,0.359,1685.273,1700.487,2048,2048,4098,8203
graph,collect,512,eager,inline,legacy,64,3,269.937,7.284,7.284,0.069,109.316,113.117,512,512,1026,2059
graph,collect,512,eager,peer_tcp,legacy,64,3,1315.515,,,,,,512,512,1026,2059
graph,collect,512,eager,task,legacy,64,3,373.716,30.683,30.926,0.076,109.316,113.117,512,512,1026,2059
graph,deep,128,eager,inline,legacy,64,3,38.72,4.502,4.502,0.096,9.999,12.461,128,128,642,1302
graph,deep,128,eager,task,legacy,64,3,51.987,5.482,5.482,0.071,9.999,12.461,128,128,642,1302
graph,deep,512,eager,inline,legacy,64,3,376.583,15.627,15.627,0.31,118.001,127.858,512,512,2562,5142
graph,deep,512,eager,task,legacy,64,3,473.49,34.477,34.477,0.214,118.001,127.858,512,512,2562,5142
graph,repeated,128,eager,inline,legacy,64,3,136.727,7.284,7.284,0.079,31.588,35.389,512,128,1032,2065
graph,repeated,128,eager,task,legacy,64,3,168.598,8.274,8.274,0.123,31.588,35.389,512,128,1032,2065
graph,repeated,512,eager,inline,legacy,64,3,1897.867,26.702,26.702,0.363,438.399,453.61,2048,512,4104,8209
graph,repeated,512,eager,task,legacy,64,3,2209.089,57.538,57.562,0.191,438.399,453.61,2048,512,4104,8209
graph,stream,128,eager,inline,legacy,64,3,21.867,2.783,2.783,0.002,7.86,8.809,128,128,258,523
graph,stream,128,eager,task,legacy,64,3,32.924,9.181,9.181,0.012,7.86,8.809,128,128,258,523
graph,stream,512,eager,inline,legacy,64,3,234.596,10.664,10.664,0.077,109.313,113.114,512,512,1026,2059
graph,stream,512,eager,task,legacy,64,3,382.325,30.485,30.485,0.133,109.313,113.114,512,512,1026,2059
graph,sum,128,eager,inline,legacy,64,3,22.917,1.72,1.72,0.007,7.86,8.81,128,128,258,523
graph,sum,128,eager,peer_tcp,legacy,64,3,177.445,,,,,,128,128,258,523
graph,sum,128,eager,task,legacy,64,3,29.625,4.191,4.202,0.004,7.86,8.81,128,128,258,523
graph,sum,2048,eager,inline,legacy,64,3,4257.243,111.099,111.099,0.311,1685.273,1700.487,2048,2048,4098,8203
graph,sum,512,eager,inline,legacy,64,3,264.958,7.284,7.284,0.078,109.316,113.117,512,512,1026,2059
graph,sum,512,eager,peer_tcp,legacy,64,3,1319.703,,,,,,512,512,1026,2059
graph,sum,512,eager,task,legacy,64,3,369.513,30.286,30.53,0.026,109.316,113.117,512,512,1026,2059
